,UID,RequestMode,WallTime,id,type,status,text,is_improved,dispatch_coord,WPT_1_type,WPT_1_name,WPT_2_type,WPT_2_name,RejoinType,RejoinWaypoint,EndpointLat,EndpointLon,SavingType,SavingsValue,SavingsUnits,FlightLevel
67,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582643.653832,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.317,sec,NA
68,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582643.653832,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,17.996,sec,320
69,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582643.6775,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.317,sec,NA
70,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582654.234577,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,14.162,sec,320
71,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582654.234577,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.6254,sec,NA
72,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582654.234577,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,17.925,sec,320
73,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582654.259142,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.6254,sec,NA
74,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582681.346955,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,11.327,sec,320
75,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582681.346955,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.122,sec,NA
76,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582681.346955,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,17.703,sec,320
